Income ,cigtax,edu_fa,edu_mo,birthorder,male,white,cig_p,bwghtlbs,lfaminc,,,,
65,33,14,12,1,0,0,0,6.125,4.174387,,,,
47.5,33,12,13,2,0,0,0,6.125,3.86073,,,,
65,18,16,16,1,0,1,0,8.5625,4.174387,,,,
42.5,18,15,16,1,1,1,0,7.0625,3.749504,,,,
27.5,18,11,12,1,1,1,0,8.5625,3.314186,,,,
37.5,18,12,12,2,0,1,15,4.4375,3.624341,,,,
47.5,18,16,16,1,0,1,0,8.0625,3.86073,,,,
2.5,18,0,9,3,0,0,10,9.3125,0.9162908,,,,
7.5,18,0,12,1,0,1,0,7.75,2.014903,,,,
6.5,18,0,12,1,0,1,0,8.625,1.871802,,,,
37.5,18,13,12,1,1,1,0,8,3.624341,,,,
32.5,18,12,12,1,0,1,10,7.625,3.48124,,,,
47.5,20,4,5,2,0,1,0,7.375,3.86073,,,,
42.5,20,12,12,2,0,1,0,8,3.749504,,,,
9.5,20,0,8,3,0,0,20,8.875,2.251292,,,,
47.5,20,18,17,1,1,1,0,7.9375,3.86073,,,,
65,20,18,18,2,1,1,0,7,4.174387,,,,
22.5,20,14,14,1,1,0,0,7.0625,3.113515,,,,
42.5,20,14,14,1,0,1,0,7,3.749504,,,,
37.5,20,14,14,2,0,1,0,5.125,3.624341,,,,
19.5,20,12,12,1,0,1,0,8.8125,2.970414,,,,
42.5,20,16,15,3,1,1,0,6.6875,3.749504,,,,
14.5,20,12,12,1,0,1,0,7.3125,2.674149,,,,
37.5,20,16,16,1,1,1,0,7.9375,3.624341,,,,
7.5,20,18,13,1,1,0,0,8.3125,2.014903,,,,
37.5,20,18,18,1,1,0,0,7.375,3.624341,,,,
32.5,20,14,12,1,0,1,0,9,3.48124,,,,
9.5,20,11,11,1,0,1,0,6.8125,2.251292,,,,
65,20,14,13,3,1,1,0,4.9375,4.174387,,,,
32.5,20,16,13,1,1,1,0,7.75,3.48124,,,,
5.5,20,12,9,1,0,1,10,8.125,1.704748,,,,
42.5,20,14,14,1,0,1,0,16.9375,3.749504,,,,
22.5,20,12,13,2,1,0,0,10,3.113515,,,,
42.5,20,14,17,1,1,1,0,7.9375,3.749504,,,,
7.5,20,11,11,1,1,0,0,6.75,2.014903,,,,
13.5,20,0,16,1,0,0,0,5.625,2.60269,,,,
27.5,20,11,12,2,1,1,0,8.75,3.314186,,,,
42.5,20,17,13,1,0,1,0,7.875,3.749504,,,,
32.5,20,12,12,2,1,1,0,6.875,3.48124,,,,
32.5,20,17,12,1,1,1,0,7.9375,3.48124,,,,
5.5,20,0,12,2,1,0,0,6.3125,1.704748,,,,
47.5,20,18,16,3,0,1,0,5.75,3.86073,,,,
47.5,20,8,13,1,1,1,0,7.5625,3.86073,,,,
42.5,20,18,16,1,1,1,0,6.375,3.749504,,,,
37.5,20,8,10,1,1,1,0,7.8125,3.624341,,,,
32.5,20,14,15,1,1,1,0,8.8125,3.48124,,,,
65,20,11,12,1,0,1,0,7.5625,4.174387,,,,
47.5,20,16,16,1,1,1,0,7.9375,3.86073,,,,
42.5,20,13,14,1,1,1,0,7.4375,3.749504,,,,
27.5,20,12,12,1,0,1,0,6.625,3.314186,,,,
17.5,20,12,12,1,0,0,0,6.5625,2.862201,,,,
18.5,20,6,11,1,0,0,0,6.5,2.917771,,,,
42.5,20,17,15,1,1,1,0,8.1875,3.749504,,,,
37.5,20,10,12,1,1,1,0,6,3.624341,,,,
42.5,20,16,14,1,0,1,0,8.8125,3.749504,,,,
32.5,20,9,11,1,0,1,0,5.8125,3.48124,,,,
2.5,20,0,12,1,0,0,0,7.125,0.9162908,,,,
18.5,20,12,12,1,1,1,0,7,2.917771,,,,
4.5,20,10,12,2,1,1,0,8.625,1.504077,,,,
22.5,20,14,14,2,1,1,0,8.5,3.113515,,,,
4.5,20,0,12,3,0,1,20,7.0625,1.504077,,,,
27.5,20,16,12,1,1,1,0,6.5625,3.314186,,,,
19.5,20,12,12,2,1,1,0,7.5,2.970414,,,,
27.5,15.5,16,16,1,0,1,0,2.1875,3.314186,,,,
19.5,15.5,12,12,3,0,1,0,9.3125,2.970414,,,,
18.5,15.5,15,13,1,1,1,0,7.625,2.917771,,,,
22.5,15.5,13,15,1,1,1,0,9.125,3.113515,,,,
22.5,15.5,12,12,1,1,1,0,10.0625,3.113515,,,,
1.5,15.5,0,12,3,1,1,20,8.875,0.4054651,,,,
4.5,15.5,12,12,2,1,1,0,7.4375,1.504077,,,,
3.5,15.5,0,12,2,0,0,4,5.1875,1.252763,,,,
3.5,15.5,0,14,1,1,0,0,8.5,1.252763,,,,
42.5,15.5,12,13,1,0,1,0,7.25,3.749504,,,,
37.5,15.5,12,12,1,0,1,0,5.8125,3.624341,,,,
22.5,15.5,12,12,1,0,1,0,6.875,3.113515,,,,
37.5,15.5,16,17,2,0,1,0,7.75,3.624341,,,,
15.5,15.5,9,12,2,1,0,0,7.6875,2.74084,,,,
27.5,15.5,12,12,2,0,1,0,8.0625,3.314186,,,,
32.5,15.5,12,12,1,0,1,0,6.625,3.48124,,,,
22.5,15.5,12,12,1,1,1,0,8.125,3.113515,,,,
27.5,15.5,12,12,1,1,1,0,6.9375,3.314186,,,,
27.5,15.5,12,12,3,1,1,0,7.1875,3.314186,,,,
4.5,15.5,0,12,1,1,0,0,6.875,1.504077,,,,
27.5,15.5,18,16,2,0,1,0,7.3125,3.314186,,,,
22.5,34,12,14,1,0,1,0,7.0625,3.113515,,,,
27.5,34,14,13,1,1,1,0,7.125,3.314186,,,,
19.5,34,14,13,1,1,1,0,9.125,2.970414,,,,
4.5,34,0,12,2,1,1,20,6.125,1.504077,,,,
11.5,34,10,10,3,1,1,10,8.9375,2.442347,,,,
27.5,34,18,17,1,1,1,0,7.25,3.314186,,,,
37.5,34,13,14,1,1,1,30,7.25,3.624341,,,,
6.5,34,16,13,2,0,1,0,4.6875,1.871802,,,,
32.5,34,13,13,1,0,1,0,8.6875,3.48124,,,,
18.5,34,14,14,1,1,1,0,7.5,2.917771,,,,
32.5,34,15,16,1,0,1,0,9.125,3.48124,,,,
42.5,34,12,12,1,0,1,0,9.0625,3.749504,,,,
22.5,34,12,13,3,1,1,0,8.5,3.113515,,,,
16.5,34,12,12,1,0,1,0,7.5,2.80336,,,,
42.5,24,16,16,1,1,1,0,6.625,3.749504,,,,
37.5,24,16,16,1,0,1,15,6.8125,3.624341,,,,
13.5,24,11,12,5,0,1,0,6.0625,2.60269,,,,
22.5,24,12,12,1,0,0,0,1.875,3.113515,,,,
22.5,24,12,10,3,1,1,0,7.625,3.113515,,,,
37.5,24,16,12,1,1,1,0,8.125,3.624341,,,,
27.5,24,12,14,1,0,1,0,7.1875,3.314186,,,,
16.5,24,13,12,1,1,1,0,7.25,2.80336,,,,
47.5,24,12,12,1,0,1,0,8.375,3.86073,,,,
22.5,24,12,10,1,0,1,0,7.9375,3.113515,,,,
22.5,24,13,12,1,0,1,0,6.3125,3.113515,,,,
47.5,24,12,12,3,0,1,0,9.0625,3.86073,,,,
22.5,24,11,14,1,0,0,0,8,3.113515,,,,
14.5,24,14,17,2,1,1,0,8.125,2.674149,,,,
16.5,24,0,14,2,1,1,0,8.625,2.80336,,,,
14.5,24,14,16,3,1,1,0,8.3125,2.674149,,,,
18.5,3,12,13,1,0,1,0,6.625,2.917771,,,,
3.5,3,10,8,2,1,1,0,8.4375,1.252763,,,,
27.5,3,12,11,3,0,1,15,6.5,3.314186,,,,
22.5,3,12,12,3,1,0,0,6.6875,3.113515,,,,
17.5,3,11,12,3,0,1,0,6.125,2.862201,,,,
18.5,3,12,10,2,0,1,0,7.6875,2.917771,,,,
0.5,3,17,16,2,0,0,0,6,-0.6931472,,,,
17.5,3,16,14,1,0,1,0,7.4375,2.862201,,,,
18.5,3,12,12,3,1,1,0,8.375,2.917771,,,,
0.5,3,0,12,1,0,1,0,5.1875,-0.6931472,,,,
37.5,3,16,13,1,1,1,0,10.0625,3.624341,,,,
7.5,3,9,14,2,1,1,5,6.8125,2.014903,,,,
18.5,3,12,12,1,1,1,0,7.0625,2.917771,,,,
4.5,3,10,12,1,0,1,0,6.125,1.504077,,,,
27.5,3,10,16,1,1,1,0,8.625,3.314186,,,,
6.5,3,12,12,1,1,1,0,7.5,1.871802,,,,
27.5,3,12,13,1,0,1,0,7,3.314186,,,,
11.5,3,8,12,1,1,0,0,6.5,2.442347,,,,
42.5,16,14,12,1,1,1,0,6.4375,3.749504,,,,
22.5,16,14,13,1,0,1,0,9.75,3.113515,,,,
19.5,16,10,12,1,0,1,0,7.4375,2.970414,,,,
65,16,14,12,1,0,1,0,8.375,4.174387,,,,
37.5,16,0,12,2,1,1,0,9.3125,3.624341,,,,
42.5,16,16,12,2,0,1,0,6.625,3.749504,,,,
42.5,16,12,12,3,0,0,0,7,3.749504,,,,
37.5,16,12,12,2,0,1,0,8.6875,3.624341,,,,
47.5,16,18,16,1,1,1,0,8.5625,3.86073,,,,
14.5,16,12,14,2,0,0,20,5.625,2.674149,,,,
32.5,16,16,14,2,0,1,0,8.5625,3.48124,,,,
15.5,16,10,12,2,1,1,20,8.75,2.74084,,,,
32.5,16,14,12,2,1,1,0,7.875,3.48124,,,,
18.5,16,12,12,1,1,0,0,7,2.917771,,,,
2.5,16,0,9,3,1,0,0,3.75,0.9162908,,,,
5.5,16,0,12,1,1,0,0,6.8125,1.704748,,,,
47.5,16,18,12,4,0,1,0,8.0625,3.86073,,,,
3.5,16,0,11,4,1,0,5,6.5,1.252763,,,,
42.5,16,12,12,2,0,1,0,4.4375,3.749504,,,,
6.5,16,6,10,2,0,0,0,5.375,1.871802,,,,
32.5,16,12,12,2,0,1,0,7.75,3.48124,,,,
47.5,16,17,16,2,0,1,0,7,3.86073,,,,
3.5,16,8,10,3,1,1,0,4.9375,1.252763,,,,
27.5,16,14,16,1,0,1,0,5.9375,3.314186,,,,
22.5,16,12,12,1,0,1,0,6.25,3.113515,,,,
27.5,16,8,17,1,1,0,0,6.25,3.314186,,,,
18.5,16,14,12,1,1,1,0,6.5625,2.917771,,,,
12.5,16,0,12,2,1,0,20,6.6875,2.525729,,,,
0.5,16,0,11,1,1,0,0,8.8125,-0.6931472,,,,
1.5,16,0,14,1,1,0,0,8.875,0.4054651,,,,
37.5,16,14,12,2,0,1,5,6.1875,3.624341,,,,
18.5,16,12,14,1,1,0,5,7,2.917771,,,,
22.5,16,12,12,2,0,0,0,6.6875,3.113515,,,,
47.5,16,13,15,1,1,1,0,9.1875,3.86073,,,,
65,16,14,16,1,0,1,0,5.875,4.174387,,,,
65,16,12,16,1,0,1,0,9.25,4.174387,,,,
11.5,16,8,10,1,1,1,30,5.6875,2.442347,,,,
32.5,16,12,16,3,1,1,0,8.1875,3.48124,,,,
22.5,16,8,6,1,0,1,0,6.375,3.113515,,,,
32.5,28,16,12,2,0,1,0,10.0625,3.48124,,,,
65,28,15,13,2,1,1,0,7.5,4.174387,,,,
27.5,28,12,14,1,1,1,0,6.5625,3.314186,,,,
18.5,28,12,12,1,1,1,0,7,2.917771,,,,
37.5,13,16,16,2,1,1,0,8.125,3.624341,,,,
32.5,13,12,12,1,1,1,0,8.5,3.48124,,,,
19.5,13,12,12,1,0,1,0,6.875,2.970414,,,,
22.5,13,13,13,1,1,1,0,7.75,3.113515,,,,
27.5,13,12,10,3,1,0,0,7.75,3.314186,,,,
22.5,13,13,12,2,0,1,0,8.375,3.113515,,,,
47.5,13,12,12,1,1,1,0,8.5,3.86073,,,,
22.5,13,12,14,1,1,0,0,7.5,3.113515,,,,
18.5,13,0,12,3,1,0,0,6.75,2.917771,,,,
17.5,13,12,12,1,0,1,0,7.625,2.862201,,,,
18.5,13,0,15,1,0,1,0,8.5625,2.917771,,,,
65,13,12,13,1,0,1,10,7.4375,4.174387,,,,
32.5,13,13,18,3,1,1,0,9,3.48124,,,,
47.5,13,18,18,3,0,1,0,8,3.86073,,,,
13.5,13,12,10,1,0,1,0,6.5,2.60269,,,,
32.5,13,13,16,1,0,1,0,7.375,3.48124,,,,
65,13,14,18,2,1,1,0,5.8125,4.174387,,,,
42.5,13,12,13,1,0,1,6,8.625,3.749504,,,,
32.5,13,13,13,2,1,1,0,8.4375,3.48124,,,,
42.5,13,14,16,1,1,0,0,8,3.749504,,,,
37.5,13,16,18,1,0,1,0,7.375,3.624341,,,,
9.5,13,12,12,1,0,0,0,7.125,2.251292,,,,
37.5,13,16,14,2,0,1,0,7.5,3.624341,,,,
65,13,18,18,1,0,1,0,7.0625,4.174387,,,,
42.5,13,12,12,1,0,1,0,6.875,3.749504,,,,
37.5,13,12,15,1,1,1,0,6.625,3.624341,,,,
9.5,26,0,12,1,1,1,20,7.8125,2.251292,,,,
19.5,26,14,14,1,1,1,0,6.6875,2.970414,,,,
19.5,26,12,12,1,0,1,0,8.125,2.970414,,,,
47.5,26,18,17,1,1,1,0,7.25,3.86073,,,,
42.5,26,12,12,4,0,1,5,6.375,3.749504,,,,
27.5,26,12,11,1,1,1,0,7,3.314186,,,,
65,26,12,12,2,0,1,20,7.75,4.174387,,,,
32.5,26,14,12,2,0,1,0,7.375,3.48124,,,,
47.5,26,16,14,2,1,1,0,7.8125,3.86073,,,,
65,26,14,18,1,0,1,0,6.4375,4.174387,,,,
6.5,26,0,12,2,1,1,0,7.1875,1.871802,,,,
42.5,26,13,14,2,0,1,0,8.5,3.749504,,,,
19.5,26,10,11,1,1,1,10,7.5,2.970414,,,,
65,26,12,12,1,1,1,2,8.6875,4.174387,,,,
27.5,26,12,14,2,0,1,0,8.5625,3.314186,,,,
37.5,26,15,16,1,0,1,5,7.5,3.624341,,,,
27.5,26,15,15,1,1,1,0,7.0625,3.314186,,,,
22.5,26,12,12,1,1,1,0,6.375,3.113515,,,,
27.5,26,12,12,3,0,1,0,8.25,3.314186,,,,
37.5,26,12,12,1,1,1,1,8.8125,3.624341,,,,
22.5,26,16,12,2,0,1,0,7.4375,3.113515,,,,
27.5,26,13,12,2,0,1,20,6.4375,3.314186,,,,
32.5,26,12,13,1,1,1,0,7.3125,3.48124,,,,
32.5,26,12,12,1,1,1,0,7.0625,3.48124,,,,
37.5,26,12,12,1,0,1,0,8.5,3.624341,,,,
37.5,26,12,12,1,0,1,0,8,3.624341,,,,
19.5,26,16,15,1,1,1,0,6.875,2.970414,,,,
65,26,18,18,1,1,1,0,6.875,4.174387,,,,
65,26,14,13,1,1,1,0,7.6875,4.174387,,,,
32.5,26,12,12,1,1,1,0,9.375,3.48124,,,,
42.5,26,18,18,2,0,1,0,7.3125,3.749504,,,,
22.5,26,14,13,2,1,1,0,8.875,3.113515,,,,
22.5,26,12,12,1,1,0,0,6.9375,3.113515,,,,
16.5,26,12,12,2,1,1,10,6.3125,2.80336,,,,
22.5,26,12,12,1,0,1,0,7.75,3.113515,,,,
22.5,26,18,18,1,1,0,0,7.5,3.113515,,,,
65,26,12,12,3,1,1,0,7.6875,4.174387,,,,
13.5,26,12,12,1,1,1,10,5.875,2.60269,,,,
32.5,26,10,12,1,0,1,0,6.875,3.48124,,,,
37.5,26,18,18,1,0,1,0,5.4375,3.624341,,,,
37.5,26,15,16,1,1,1,0,6.8125,3.624341,,,,
27.5,26,0,12,1,0,0,0,7,3.314186,,,,
6.5,26,0,12,3,0,0,20,6.75,1.871802,,,,
19.5,25,11,10,4,0,1,0,8.6875,2.970414,,,,
32.5,25,16,16,1,0,1,0,6.5,3.48124,,,,
22.5,25,0,13,1,0,1,0,7.5625,3.113515,,,,
65,25,15,17,1,0,1,0,6.875,4.174387,,,,
27.5,25,12,10,5,0,1,0,9.6875,3.314186,,,,
18.5,25,16,17,2,0,1,0,9.1875,2.917771,,,,
47.5,25,11,12,1,1,1,0,7.3125,3.86073,,,,
1.5,25,0,12,1,1,0,0,7.0625,0.4054651,,,,
42.5,25,13,12,2,0,1,0,8.5,3.749504,,,,
1.5,25,0,12,1,0,0,0,6.5625,0.4054651,,,,
65,25,16,16,1,1,1,0,8.0625,4.174387,,,,
22.5,25,16,15,1,1,1,0,7.125,3.113515,,,,
42.5,25,12,14,2,1,1,0,6.8125,3.749504,,,,
0.5,25,0,12,3,1,0,0,6.75,-0.6931472,,,,
47.5,25,16,16,1,0,1,0,8.875,3.86073,,,,
65,25,12,12,1,1,1,0,6.1875,4.174387,,,,
11.5,25,0,12,1,1,1,20,4.9375,2.442347,,,,
5.5,25,12,11,1,0,1,20,6.375,1.704748,,,,
65,25,12,12,2,0,1,0,4.625,4.174387,,,,
2.5,25,0,12,1,1,0,3,6.8125,0.9162908,,,,
65,25,18,16,3,0,1,0,8.875,4.174387,,,,
32.5,25,10,11,2,0,1,10,6.125,3.48124,,,,
2.5,25,12,12,2,1,0,0,8,0.9162908,,,,
47.5,25,17,12,1,1,1,0,6.6875,3.86073,,,,
5.5,25,0,11,1,1,0,0,6.0625,1.704748,,,,
65,25,18,16,3,1,1,0,7.8125,4.174387,,,,
11.5,25,0,13,2,1,0,20,4.6875,2.442347,,,,
22.5,25,14,8,1,1,1,40,8.5,3.113515,,,,
65,25,17,16,1,0,1,0,6.625,4.174387,,,,
13.5,25,12,12,1,0,1,0,6.5,2.60269,,,,
27.5,25,13,12,1,1,1,0,4.5,3.314186,,,,
65,25,18,12,2,0,1,0,7,4.174387,,,,
32.5,25,9,12,3,0,1,20,7.5,3.48124,,,,
65,25,12,12,1,1,1,0,6.4375,4.174387,,,,
8.5,25,11,12,4,1,0,0,7.625,2.140066,,,,
27.5,25,16,16,1,0,1,0,8.5,3.314186,,,,
65,25,14,10,3,1,1,0,7.6875,4.174387,,,,
32.5,25,11,11,2,0,1,0,8.625,3.48124,,,,
5.5,25,11,12,1,1,1,8,3.125,1.704748,,,,
22.5,25,11,12,3,1,1,20,4.6875,3.113515,,,,
5.5,25,0,11,2,0,1,0,5.8125,1.704748,,,,
27.5,25,12,10,2,0,1,0,7.4375,3.314186,,,,
7.5,25,0,15,1,0,0,0,7.3125,2.014903,,,,
4.5,25,7,9,3,1,1,10,6.375,1.504077,,,,
42.5,25,16,15,3,1,1,0,7,3.749504,,,,
32.5,25,12,13,2,0,1,0,6.625,3.48124,,,,
22.5,25,11,12,2,1,1,0,6.75,3.113515,,,,
27.5,25,12,12,1,0,1,0,7,3.314186,,,,
47.5,25,12,17,1,1,1,0,9.0625,3.86073,,,,
32.5,25,14,13,1,1,0,0,8.375,3.48124,,,,
3.5,25,0,12,2,0,0,0,7.3125,1.252763,,,,
32.5,25,15,14,2,0,1,7,7.125,3.48124,,,,
9.5,25,13,12,1,1,1,0,3.25,2.251292,,,,
47.5,25,16,16,1,0,1,0,7.8125,3.86073,,,,
42.5,25,17,14,1,0,1,0,7.9375,3.749504,,,,
9.5,25,14,15,1,1,1,0,8.25,2.251292,,,,
18.5,25,14,14,1,0,0,0,6.25,2.917771,,,,
37.5,25,12,12,2,0,1,0,5,3.624341,,,,
27.5,25,14,13,2,0,1,0,7.75,3.314186,,,,
37.5,25,16,15,2,1,1,0,7.6875,3.624341,,,,
18.5,38,18,16,3,0,1,0,7.5625,2.917771,,,,
65,38,12,12,3,1,1,0,8.5,4.174387,,,,
32.5,38,18,17,3,0,1,0,9.5,3.48124,,,,
27.5,38,16,16,1,0,1,0,8.25,3.314186,,,,
65,38,16,16,2,0,1,0,8.9375,4.174387,,,,
22.5,38,12,12,1,1,1,8,7.125,3.113515,,,,
65,38,16,16,1,0,1,0,5.5,4.174387,,,,
37.5,38,12,12,2,1,0,0,5.0625,3.624341,,,,
22.5,38,15,13,2,0,1,0,7.1875,3.113515,,,,
47.5,38,18,12,2,1,1,0,9.375,3.86073,,,,
42.5,38,16,13,2,1,1,0,8.8125,3.749504,,,,
12.5,38,12,15,1,1,1,0,7.8125,2.525729,,,,
18.5,38,12,12,2,0,1,0,8.4375,2.917771,,,,
6.5,38,0,11,2,0,1,20,7.5,1.871802,,,,
42.5,38,14,14,2,0,1,0,5.1875,3.749504,,,,
27.5,38,12,12,3,0,1,0,8.9375,3.314186,,,,
65,38,12,16,1,1,1,0,9.5625,4.174387,,,,
65,38,16,14,3,1,1,0,9.375,4.174387,,,,
27.5,38,14,14,3,0,1,0,9.5,3.314186,,,,
27.5,38,12,12,1,0,1,10,9.25,3.314186,,,,
42.5,38,13,18,2,0,1,0,7.6875,3.749504,,,,
27.5,38,12,12,1,1,1,0,7.3125,3.314186,,,,
65,38,16,16,1,1,1,0,8,4.174387,,,,
65,38,16,16,2,0,1,0,5.75,4.174387,,,,
27.5,38,13,13,1,0,1,0,7.1875,3.314186,,,,
27.5,38,16,17,1,0,1,0,6.5625,3.314186,,,,
65,38,16,12,1,1,1,0,8.8125,4.174387,,,,
14.5,38,12,12,1,1,1,0,6.5,2.674149,,,,
22.5,38,14,12,3,1,1,0,9.75,3.113515,,,,
10.5,38,16,12,4,0,1,0,8.1875,2.351375,,,,
15.5,38,12,12,1,1,1,0,7.3125,2.74084,,,,
32.5,38,12,12,2,0,1,0,8.8125,3.48124,,,,
32.5,38,12,10,2,0,1,0,8.625,3.48124,,,,
4.5,38,0,12,1,0,1,0,8.5,1.504077,,,,
6.5,38,0,13,2,0,0,0,9.3125,1.871802,,,,
8.5,38,12,12,1,0,1,0,9,2.140066,,,,
32.5,38,18,18,1,0,1,0,7.6875,3.48124,,,,
32.5,38,16,16,1,1,1,0,7.125,3.48124,,,,
32.5,38,0,12,1,1,1,0,6.25,3.48124,,,,
47.5,38,12,12,1,1,1,0,7.9375,3.86073,,,,
17.5,38,12,12,1,0,1,20,5.75,2.862201,,,,
37.5,38,16,17,2,0,1,0,8.625,3.624341,,,,
